%eval_id interface p1             p2             p3             p4             p5             p6             p7             p8             p9             p10            p11            p12            p13            p14            p15            activation     energy         maxamp         
62       INTERFACE  1.296202663    6.21816907     -7.071664317   -4.409244206   -4.932283227   1.660828583    -3.412635597   -3.338826765   -6.918934257   -0.1283268363  -2.579573656   7.011759497    -2.144223801   -3.255536792   0.2486771847   -0.6686028242  8.966114395e-06 8.371485276    
63       INTERFACE  1.497358707    2.015927708    7.007781146    -7.473261694   -6.443196244   1.967566928    -7.341562842   2.618297455    -1.541424258   1.4000785      -7.401005302   -4.751250715   -5.033073364   -3.461051942   -1.203901558   -0.8620991111  1.038058498e-05 8.766700988    
64       INTERFACE  1.544798372    1.846222123    -4.163903902   -4.965787671   0.9502522175   4.187360253    -0.3273161165  -0.2193154477  0.8213713059   -3.872905751   6.390927233    6.06300828     0.9099702157   -6.070636273   5.737754366    -0.4972871542  8.114032972e-06 6.622623723    
65       INTERFACE  1.717623185    -2.520554273   5.920565176    -2.815029272   -1.297071175   -3.025777035   7.011841612    0.5953815477   3.528825678    -2.940361412   6.775573189    -5.449966995   -6.799259993   7.480289745    -6.351725994   -0.5296308994  1.266003369e-05 7.365892621    
66       INTERFACE  1.765111689    -0.1026961429  0.6291491064   1.524045981    3.723923038    -7.326718436   2.374545697    3.333712044    5.237142252    -3.295101226   5.487134204    0.02953599325  -7.469700803   2.712451744    7.2598267      -0.2959766388  9.310802561e-06 8.462348418    
67       INTERFACE  2.092829854    -3.222522333   7.296111176    -2.194575807   -5.878454132   -5.543501944   -1.499365684   6.681001628    -0.2197269223  -6.749738704   -6.962191248   -2.370835985   3.624235346    3.187380149    -0.6503208578  -0.5556672215  1.075597619e-05 8.071715893    
68       INTERFACE  2.404935243    -3.749817608   7.022234767    -7.249737731   -3.296328895   -0.1715456125  6.658979889    4.707415834    5.774987213    -4.308275786   6.213405222    5.915105519    -3.828637128   -4.281505838   6.117174338    -0.5814625621  1.349781437e-05 8.37026207     
69       INTERFACE  2.595089055    1.524940771    1.964413468    -4.042520596   -6.133856079   6.825754232    1.018694613    -7.201204765   -4.745423609   -6.47560629    -3.4603661     -2.19951798    -1.897734953   -6.327171816   2.163641911    -0.5618418455  9.08717533e-06 8.475183491    
70       INTERFACE  2.60120519     3.31702841     -4.946851101   -0.2368359024  -4.391690698   -1.309404573   7.341389009    4.178620107    -3.053150452   -4.61470588    3.881154557    -3.77850398    -5.474640593   6.940779586    -7.165454049   -0.5796856284  1.156634485e-05 7.760830282    
71       INTERFACE  2.634768132    5.223537522    -5.466002979   1.803537218    0.2229117033   -2.188728186   4.753577706    -2.978536643   4.32150551     6.03326745     -6.426471797   3.589532569    6.016465492    -4.646003138   7.096067725    -0.3548485935  1.065922186e-05 7.675811065    
